symbol,n,value
A,2,2.1213203435596424
A,3,1.7320508075688774
A,4,1.5
A,5,1.3416407864998738
A,6,1.2247448713915892
A,7,1.1338934190276817
A,8,1.0606601717798212
A,9,1.0
A,10,0.9486832980505138
A,11,0.9045340337332909
A,12,0.8660254037844387
A,13,0.8320502943378437
A,14,0.8017837257372732
A,15,0.7745966692414834
A,16,0.75
A,17,0.7276068751089989
A,18,0.7071067811865476
A,19,0.6882472016116852
A,20,0.6708203932499369
A,21,0.6546536707079772
A,22,0.6396021490668313
A,23,0.6255432421712244
A,24,0.6123724356957946
A,25,0.6
A,26,0.5883484054145521
A,27,0.5773502691896257
A,28,0.5669467095138409
A,29,0.5570860145311556
A,30,0.5477225575051661
A,31,0.5388159060803247
A,32,0.5303300858899106
A,33,0.5222329678670935
A,34,0.5144957554275265
A,35,0.50709255283711
A,36,0.5
A,37,0.4931969619160719
A,38,0.48666426339228763
A,39,0.48038446141526137
A,40,0.4743416490252569
A,41,0.4685212856658182
A,42,0.4629100498862757
A,43,0.457495710997814
A,44,0.45226701686664544
A,45,0.4472135954999579
A,46,0.4423258684646914
A,47,0.4375949744936837
A,48,0.43301270189221935
A,49,0.42857142857142855
A,50,0.4242640687119285
A,51,0.42008402520840293
A,52,0.41602514716892186
A,53,0.4120816918460671
A,54,0.408248290463863
A,55,0.40451991747794525
A,56,0.4008918628686366
A,57,0.39735970711951313
A,58,0.39391929857916763
A,59,0.39056673294247163
A,60,0.3872983346207417
A,61,0.3841106397986879
A,62,0.3810003810005715
A,63,0.3779644730092272
A,64,0.375
A,65,0.3721042037676254
A,66,0.3692744729379982
A,67,0.36650833306891567
A,68,0.36380343755449945
A,69,0.3611575592573076
A,70,0.35856858280031806
A,71,0.35603449745815596
A,72,0.3535533905932738
A,73,0.3511234415883917
A,74,0.34874291623145787
A,75,0.3464101615137754
A,76,0.3441236008058426
A,77,0.3418817293789138
A,78,0.3396831102433787
A,79,0.3375263702778072
A,80,0.33541019662496846
A,81,0.3333333333333333
A,82,0.3312945782245396
A,83,0.329292779969071
A,84,0.3273268353539886
A,85,0.32539568672798425
A,86,0.3234983196103152
A,87,0.3216337604513384
A,88,0.31980107453341566
A,89,0.31799936400190804
A,90,0.31622776601683794
A,91,0.3144854510165755
A,92,0.3127716210856122
A,93,0.3110855084191276
A,94,0.309426373877638
A,95,0.30779350562554625
A,96,0.3061862178478973
A,97,0.30460384954008574
A,98,0.30304576336566325
A,99,0.30151134457776363
A,100,0.3
A,101,0.29851115706299675
A,102,0.2970442628930023
A,103,0.29559878344928797
A,104,0.29417420270727607
A,105,0.29277002188455997
A,106,0.29138575870717925
A,107,0.29002094671369905
A,108,0.28867513459481287
A,109,0.2873478855663454
A,110,0.28603877677367767
A,111,0.2847473987257497
A,112,0.2834733547569204
A,113,0.2822162605150792
A,114,0.2809757434745082
A,115,0.27975144247209416
A,116,0.2785430072655778
A,117,0.2773500981126145
A,118,0.276172385369497
A,119,0.2750095491084634
A,120,0.27386127875258304
A,121,0.2727272727272727
A,122,0.2716072381275556
A,123,0.2705008904002297
A,124,0.26940795304016235
A,125,0.2683281572999747
A,126,0.2672612419124244
A,127,0.26620695282483414
A,128,0.2651650429449553
A,129,0.26413527189768715
A,130,0.2631174057921088
A,131,0.26211121699831136
A,132,0.26111648393354675
A,133,0.26013299085723596
A,134,0.25916052767440806
A,135,0.25819888974716115
A,136,0.25724787771376323
A,137,0.25630729731502827
A,138,0.2553769592276246
A,139,0.2544566789039913
A,140,0.253546276418555
A,141,0.2526455763199557
A,142,0.25175440748900674
A,143,0.2508726030021272
A,144,0.25
A,145,0.2491364395612199
A,146,0.24828176658071038
A,147,0.24743582965269675
A,148,0.24659848095803594
A,149,0.24576957615571215
A,150,0.24494897427831783
A,151,0.24413653763134782
A,152,0.24333213169614382
A,153,0.242535625036333
A,154,0.24174688920761409
A,155,0.24096579867074966
A,156,0.24019223070763068
A,157,0.23942606534028665
A,158,0.23866718525271902
A,159,0.23791547571544325
A,160,0.23717082451262844
A,161,0.23643312187173018
A,162,0.23570226039551584
A,163,0.2349781349963872
A,164,0.2342606428329091
A,165,0.23354968324845687
A,166,0.23284515771189984
A,167,0.23214696976024105
A,168,0.23145502494313785
A,169,0.23076923076923078
A,170,0.2300894966542111
A,171,0.22941573387056177
A,172,0.228747855498907
A,173,0.22808577638091165
A,174,0.227429413073671
A,175,0.22677868380553634
A,176,0.22613350843332272
A,177,0.22549380840084865
A,178,0.22485950669875843
A,179,0.22423052782558076
A,180,0.22360679774997896
A,181,0.2229882438741499
A,182,0.22237479499833035
A,183,0.22176638128637186
A,184,0.2211629342323457
A,185,0.22056438662814232
A,186,0.21997067253202995
A,187,0.21938172723813917
A,188,0.21879748724684184
A,189,0.21821789023599236
A,190,0.2176428750330035
A,191,0.2170723815877265
A,192,0.21650635094610968
A,193,0.21594472522460836
A,194,0.21538744758532144
A,195,0.21483446221182986
A,196,0.21428571428571427
A,197,0.21374114996372895
A,198,0.21320071635561044
A,199,0.21266436150250076
A,200,0.21213203435596426
A2,2,1.87997120597325
A2,3,1.0233267079464885
A2,4,0.7285971858947043
A2,5,0.5768193340850856
A2,6,0.48324602427050906
A2,7,0.41928396411410984
A2,8,0.37252737558279453
A2,9,0.33669735240336557
A2,10,0.30826372523660955
A2,11,0.2850836192216004
A2,12,0.26577790070285195
A2,13,0.24941702468831053
A2,14,0.23535059535176042
A2,15,0.2231092430037009
A2,16,0.2123453157669868
A2,17,0.2027955426827647
A2,18,0.19425670213733082
A2,19,0.18656928716331664
A2,20,0.179606252230855
A2,21,0.17326508288048206
A2,22,0.16746209371143195
A2,23,0.16212825456675467
A2,24,0.15720608591538868
A2,25,0.1526473158603439
A2,26,0.1484110885653302
A2,27,0.14446257784420835
A2,28,0.1407719024854349
A2,29,0.13731326907536867
A2,30,0.13406428830568934
A2,31,0.13100542496685036
A2,32,0.12811955196247635
A2,33,0.12539158599357966
A2,34,0.12280818790325584
A2,35,0.12035751461657838
A2,36,0.11802901255234666
A2,37,0.11581324459874426
A2,38,0.11370174442820735
A2,39,0.11168689321647284
A2,40,0.1097618148267103
A2,41,0.10792028629447413
A2,42,0.10615666105627147
A2,43,0.10446580284331548
A2,44,0.1028430285420106
A2,45,0.10128405862608746
A2,46,0.09978497400888363
A2,47,0.0983421783608962
A2,48,0.09695236509727455
A2,49,0.09561248837000597
A2,50,0.09431973750610959
A2,51,0.0930715144208344
A2,52,0.09186541360731144
A2,53,0.0906992043642268
A2,54,0.08957081497315532
A2,55,0.08847831857906077
A2,56,0.08741992056259819
A2,57,0.08639394722243193
A2,58,0.0853988356107724
A2,59,0.08443312438651013
A2,60,0.08349544556833056
A2,61,0.08258451708554242
A2,62,0.0816991360374772
A2,63,0.08083817258357406
A2,64,0.08000056439593545
A2,65,0.07918531161449086
A2,66,0.07839147225208151
A2,67,0.07761815800307151
A2,68,0.07686453041445722
A2,69,0.07612979738319595
A2,70,0.07541320994757338
A2,71,0.07471405934402628
A2,72,0.07403167430398226
A2,73,0.07336541856804023
A2,74,0.07271468859724156
A2,75,0.07207891146332038
A2,76,0.07145754290170732
A2,77,0.07085006551272864
A2,78,0.07025598709791928
A2,79,0.06967483911967706
A2,80,0.0691061752736496
A2,81,0.0685495701642801
A2,82,0.0680046180748605
A2,83,0.0674709318242642
A2,84,0.06694814170326632
A2,85,0.06643589448401784
A2,86,0.06593385249683084
A2,87,0.06544169276896192
A2,88,0.06495910622055656
A2,89,0.06448579691334688
A2,90,0.06402148134807999
A2,91,0.06356588780700438
A2,92,0.06311875573805421
A2,93,0.06267983517765822
A2,94,0.0622488862093561
A2,95,0.0618256784556388
A2,96,0.061409990600642006
A2,97,0.06100160994151381
A2,98,0.060600331966452044
A2,99,0.06020595995756748
A2,100,0.059818304616872986
A2,101,0.05943718371383127
A2,102,0.05906242175301532
A2,103,0.05869384966054568
A2,104,0.05833130448806795
A2,105,0.05797462913313193
A2,106,0.05762367207490965
A2,107,0.05727828712427562
A2,108,0.056938333187339346
A2,109,0.05660367404158646
A2,110,0.05627417812384604
A2,111,0.05594971832935533
A2,112,0.05563017182124604
A2,113,0.05531541984982289
A2,114,0.05500534758104497
A2,115,0.0546998439336681
A2,116,0.054398801424535424
A2,117,0.054102116021541025
A2,118,0.053809687003825935
A2,119,0.05352141682878758
A2,120,0.053237211005518724
A2,121,0.052956977974312175
A2,122,0.0526806289918924
A2,123,0.05240807802205667
A2,124,0.05213924163142861
A2,125,0.05187403889004482
A2,126,0.05161239127651392
A2,127,0.051354222587501996
A2,128,0.05109945885131471
A2,129,0.05084802824535961
A2,130,0.05059986101728521
A2,131,0.05035488940960575
A2,132,0.05011304758763228
A2,133,0.04987427157054
A2,134,0.04963849916541342
A2,135,0.049405669904118495
A2,136,0.04917572498286082
A2,137,0.048948607204296155
A2,138,0.04872426092206755
A2,139,0.04850263198765032
A2,140,0.04828366769939282
A2,141,0.048067316753646935
A2,142,0.047853529197888336
A2,143,0.047642256385731975
A2,144,0.04743345093375314
A2,145,0.047227066680029565
A2,146,0.04702305864432445
A2,147,0.04682138298983451
A2,148,0.046621996986431276
A2,149,0.046424858975327374
A2,150,0.04622992833510344
A2,151,0.046037165449034426
A2,152,0.045846531673657036
A2,153,0.045657989308523494
A2,154,0.0454715015670892
A2,155,0.04528703254868443
A2,156,0.04510454721152325
A2,157,0.04492401134670454
A2,158,0.04474539155316253
A2,159,0.04456865521352647
A2,160,0.04439377047085069
A2,161,0.04422070620617841
A2,162,0.04404943201690454
A2,163,0.04387991819590393
A2,164,0.043712135711393735
A2,165,0.043546056187499356
A2,166,0.04338165188549554
A2,167,0.04321889568569501
A2,168,0.04305776106995859
A2,169,0.04289822210480183
A2,170,0.042740253425074363
A2,171,0.04258383021818937
A2,172,0.04242892820888118
A2,173,0.042275523644470826
A2,174,0.04212359328061922
A2,175,0.041973114367549504
A2,176,0.0418240646367201
A2,177,0.04167642228793166
A2,178,0.041530165976851045
A2,179,0.04138527480293669
A2,180,0.04124172829775023
A2,181,0.04109950641363998
A2,182,0.04095858951278228
A2,183,0.04081895835656773
A2,184,0.04068059409531929
A2,185,0.04054347825833035
A2,186,0.0404075927442111
A2,187,0.04027291981153181
A2,188,0.04013944206975266
A2,189,0.040007142470429594
A2,190,0.03987600429868646
A2,191,0.03974601116494413
A2,192,0.03961714699689725
A2,193,0.039489396031730156
A2,194,0.03936274280856361
A2,195,0.039237172161124295
A2,196,0.03911266921062923
A2,197,0.038989219358878176
A2,198,0.03886680828154622
A2,199,0.038745421921670575
A2,200,0.03862504648332423
A3,2,2.6586807763582736
A3,3,1.95441004761168
A3,4,1.628102822756102
A3,5,1.4272992929222166
A3,6,1.2871282962146753
A3,7,1.1819161019031796
A3,8,1.0990950233987695
A3,9,1.03166095277304
A3,10,0.9753500771452293
A3,11,0.927394229957708
A3,12,0.8859057019313308
A3,13,0.849546184617197
A3,14,0.8173364643410086
A3,15,0.7885410901802005
A3,16,0.762595382525386
A3,17,0.7390575328560592
A3,18,0.7175761863091639
A3,19,0.697867913152062
A3,20,0.6797011871240741
A3,21,0.6628847579272156
A3,22,0.6472590597830987
A3,23,0.6326897607446272
A3,24,0.6190628491274287
A3,25,0.6062808418107432
A3,26,0.5942598235256689
A3,27,0.5829271099946949
A3,28,0.57221938519986
A3,29,0.5620812030668987
A3,30,0.5524637721555338
A3,31,0.5433239622448517
A3,32,0.5346234864470285
A3,33,0.5263282233190955
A3,34,0.5184076514940242
A3,35,0.5108343753959378
A3,36,0.503583725183677
A3,37,0.49663341756786866
